task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
cart_pole,cbo,0,100,8.544191360473633,0.268740963190794,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
cart_pole,cbo,0,101,8.548295974731445,0.26957407128065825,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
cart_pole,cbo,1,100,8.617620468139648,0.26936572790145874,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
cart_pole,cbo,1,101,8.41989517211914,0.269605022855103,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
cart_pole,cbo,2,100,8.459291458129883,0.26972549920901656,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
cart_pole,cbo,2,101,9.592412948608398,0.2695050020702183,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
cart_pole,mppi_cma,0,100,8.395057678222656,0.26946787256747484,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
cart_pole,mppi_cma,0,101,8.578910827636719,0.27047973312437534,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
cart_pole,mppi_cma,1,100,8.582786560058594,0.2690564747899771,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
cart_pole,mppi_cma,1,101,8.517141342163086,0.26943017542362213,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
cart_pole,mppi_cma,2,100,8.428345680236816,0.27387923700734973,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
cart_pole,mppi_cma,2,101,8.523780822753906,0.2701843152754009,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
cart_pole,cmaes,0,100,10.218092918395996,0.2729255543090403,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,0,101,9.684998512268066,0.2724234280176461,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,1,100,9.37862777709961,0.27355947671458125,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,1,101,9.151315689086914,0.2727361391298473,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,2,100,9.37862777709961,0.2723332457244396,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
cart_pole,cmaes,2,101,9.151315689086914,0.2731475248001516,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
cart_pole,cem,0,100,8.683609008789062,0.27061882102862,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
cart_pole,cem,0,101,8.677474975585938,0.2693911138921976,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
cart_pole,cem,1,100,8.525657653808594,0.271143885795027,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
cart_pole,cem,1,101,8.53049087524414,0.27160774171352386,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
cart_pole,cem,2,100,12.390286445617676,0.26985408226028085,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
cart_pole,cem,2,101,8.576431274414062,0.2709844820201397,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
cart_pole,ps,0,100,8.408382415771484,0.26967020612210035,10,2.0,128,1,4,cubic,100.0,200,0.3,{}
cart_pole,ps,0,101,8.572147369384766,0.2715651309117675,10,2.0,128,1,4,cubic,100.0,200,0.3,{}
cart_pole,dial,0,100,10.982088088989258,0.26914985524490476,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
cart_pole,dial,0,101,14.747455596923828,0.26971817295998335,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
cart_pole,dial,1,100,8.523173332214355,0.27130074286833405,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
cart_pole,dial,1,101,8.374715805053711,0.2704121060669422,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
cart_pole,dial,2,100,8.526308059692383,0.26955388905480504,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
cart_pole,dial,2,101,8.568950653076172,0.2700386238284409,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
double_cart_pole,cbo,0,100,120.69158172607422,0.17601984180510044,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,0,101,120.69115447998047,0.16986345872282982,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1,100,120.69258880615234,0.17643811414018273,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
double_cart_pole,cbo,1,101,118.27206420898438,0.16993654519319534,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
double_cart_pole,cbo,2,100,121.66706848144531,0.1768418368883431,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
double_cart_pole,cbo,2,101,120.75267028808594,0.1695303521119058,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
double_cart_pole,mppi_cma,0,100,120.84785461425781,0.16977477399632335,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
double_cart_pole,mppi_cma,0,101,121.37003326416016,0.1693852860480547,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
double_cart_pole,mppi_cma,1,100,120.70303344726562,0.17113417200744152,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
double_cart_pole,mppi_cma,1,101,121.20503234863281,0.1694500558078289,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
double_cart_pole,mppi_cma,2,100,120.75389862060547,0.1695724269375205,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
double_cart_pole,mppi_cma,2,101,121.73149108886719,0.16970354598015547,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
double_cart_pole,cmaes,0,100,124.79527282714844,0.17797253234311938,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,0,101,124.38109588623047,0.17447831900790334,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,1,100,122.65420532226562,0.17408640077337623,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,1,101,123.99579620361328,0.17342924093827605,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,2,100,122.65420532226562,0.1741979280486703,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
double_cart_pole,cmaes,2,101,123.99579620361328,0.1726302751339972,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
double_cart_pole,cem,0,100,135.5158233642578,0.17021614499390125,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
double_cart_pole,cem,0,101,120.69078826904297,0.17040982702746987,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
double_cart_pole,cem,1,100,124.05245208740234,0.17160010803490877,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
double_cart_pole,cem,1,101,121.42029571533203,0.1687593050301075,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
double_cart_pole,cem,2,100,133.86158752441406,0.17005135398358107,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
double_cart_pole,cem,2,101,128.3135223388672,0.16842347523197532,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
double_cart_pole,ps,0,100,120.71086883544922,0.1729051498696208,10,1.0,1024,1,4,cubic,100.0,100,0.3,{}
double_cart_pole,ps,0,101,120.69646453857422,0.170179083943367,10,1.0,1024,1,4,cubic,100.0,100,0.3,{}
double_cart_pole,dial,0,100,130.768310546875,0.16938849305734038,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
double_cart_pole,dial,0,101,130.71095275878906,0.17130828090012074,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
double_cart_pole,dial,1,100,120.69327545166016,0.17652408313006163,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
double_cart_pole,dial,1,101,120.69627380371094,0.17130519496276975,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
double_cart_pole,dial,2,100,120.72859191894531,0.17451634583994746,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
double_cart_pole,dial,2,101,118.29740142822266,0.1690706117078662,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
humanoid_standup,cbo,0,100,22.314529418945312,0.11662822915241122,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
humanoid_standup,cbo,0,101,22.086925506591797,0.1124113742262125,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
humanoid_standup,cbo,1,100,21.128643035888672,0.1154342950321734,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
humanoid_standup,cbo,1,101,21.445709228515625,0.11217396706342697,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
humanoid_standup,cbo,2,100,24.784217834472656,0.11643217783421278,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
humanoid_standup,cbo,2,101,24.266651153564453,0.11369569832459092,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
humanoid_standup,mppi_cma,0,100,23.594524383544922,0.11994223762303591,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
humanoid_standup,mppi_cma,0,101,22.468652725219727,0.11409474303945899,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
humanoid_standup,mppi_cma,1,100,23.069774627685547,0.11378441983833909,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
humanoid_standup,mppi_cma,1,101,22.273189544677734,0.11330405063927174,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
