algorithm,nominal_operations,actual_operations,iterations,samples,mean_cost,std_cost,mean_planning_time_seconds,std_planning_time_seconds,finite_seeds,seed_count,video_seed,video_seed_cost
cbo,512,512,1,512,2083.566845703125,398.12732833802596,0.3170456996187568,0.004515980938533973,5,5,2,1762.1781005859375
cbo,512,512,2,256,1736.1687744140625,366.8899901364113,0.5779276510700584,0.0038926332801802947,5,5,2,1333.336669921875
cbo,512,512,4,128,2253.1943359375,637.195946233778,1.1485432885587215,0.0023841516437851998,5,5,2,1402.158447265625
cbo,512,512,8,64,2324.6408935546874,529.582353203272,2.2487723061814906,0.0038296814581191088,5,5,1,1666.234375
cbo,512,512,16,32,4324.029736328125,693.0625073143353,4.87409990504384,0.024044893945955444,5,5,4,3196.163818359375
cbo,1024,1024,1,1024,1768.8480712890625,98.22366044441226,0.33505293596535923,0.003969343867094258,5,5,4,1628.4178466796875
cbo,1024,1024,2,512,1632.516552734375,336.68478974703527,0.6264853009022773,0.00476321311116547,5,5,4,1246.289306640625
cbo,1024,1024,4,256,1485.2585205078126,235.36136873972896,1.1614306994713843,0.006294945872950626,5,5,1,1215.3763427734375
cbo,1024,1024,8,128,2365.1204833984375,954.6991879349988,2.2804154097102582,0.0008513002671497826,5,5,3,1446.880859375
cbo,1024,1024,16,64,5108.731494140625,1089.9271310513757,4.478607601672411,0.006468799502221283,5,5,3,3796.374755859375
cbo,2048,2048,1,2048,1570.920263671875,257.3928604530314,0.3717740712687373,0.0035890918647839844,5,5,3,1225.0323486328125
cbo,2048,2048,2,1024,1597.9868896484375,426.7024527757208,0.6605555500835181,0.003316606593717057,5,5,4,1182.3629150390625
cbo,2048,2048,4,512,1545.039501953125,297.4225861132377,1.2440449015237391,0.0023123032645973735,5,5,4,1052.279052734375
cbo,2048,2048,8,256,2736.021240234375,748.602110556019,2.305128600168973,0.004357521440059265,5,5,4,1614.4345703125
cbo,2048,2048,16,128,3496.08818359375,734.869112974234,4.547364879492671,0.001211330524291055,5,5,0,2799.485107421875
cbo,4096,4096,1,4096,1468.2998291015624,315.1687276027904,0.4208047851920128,0.0036796711994302126,5,5,3,1227.812255859375
