algorithm,nominal_operations,actual_operations,iterations,samples,mean_cost,std_cost,mean_planning_time_seconds,std_planning_time_seconds,finite_seeds,seed_count,video_seed,video_seed_cost
cbo,8192,8192,2,4096,1422.3455688476563,376.5967078810788,0.8266398290172219,0.0031213400870867243,5,5,4,981.8410034179688
cbo,4096,4096,1,4096,1468.2998291015624,315.1687276027904,0.4208047851920128,0.0036796711994302126,5,5,3,1227.812255859375
cbo,2048,2048,4,512,1545.039501953125,297.4225861132377,1.2440449015237391,0.0023123032645973735,5,5,4,1052.279052734375
cbo,1024,1024,4,256,1485.2585205078126,235.36136873972896,1.1614306994713843,0.006294945872950626,5,5,1,1215.3763427734375
cbo,512,512,2,256,1736.1687744140625,366.8899901364113,0.5779276510700584,0.0038926332801802947,5,5,2,1333.336669921875
mppi_cma,8192,8192,4,2048,1060.5712768554688,123.7315425676599,1.576398563105613,0.023806335978797416,5,5,1,924.251953125
mppi_cma,4096,4096,2,2048,1115.2045288085938,193.81404280646254,0.745547520276159,0.00932897332645658,5,5,0,947.99951171875
mppi_cma,2048,2048,8,256,1157.088671875,169.08105517492325,2.382196409162134,0.01413562601818975,5,5,2,977.8214721679688
mppi_cma,1024,1024,4,256,1234.3048095703125,172.33964180654053,1.1883492718450726,0.003094657274563346,5,5,0,1104.598876953125
mppi_cma,512,512,8,64,1416.8260986328125,197.64053309039107,2.287260953616351,0.008803576792914143,5,5,3,1278.9482421875
cmaes,8192,8192,1,8192,1684.7425048828125,345.92178038612354,0.47711829086765645,0.005297229827492005,5,5,3,1367.12890625
cmaes,4096,4096,1,4096,1873.2058349609374,678.1541635572112,0.42532775765284897,0.0032922132203476863,5,5,0,1286.4178466796875
cmaes,2048,2048,1,2048,1745.245458984375,689.3055159880506,0.38743928223848345,0.004061831680484814,5,5,4,1224.8502197265625
cmaes,1024,1024,1,1024,2050.531103515625,296.796658402452,0.34557245383039115,0.0039265611844404,5,5,2,1765.434326171875
cmaes,512,512,1,512,2153.566455078125,460.89898843243003,0.3283422832377255,0.004841605016618768,5,5,3,1508.6025390625
cem,8192,8192,16,512,1320.2409423828126,229.25351547978204,4.973597483243793,0.006911897994539675,5,5,3,1135.1898193359375
cem,4096,4096,8,512,1358.483251953125,71.04960811779438,2.5511851998977364,0.010864654358087422,5,5,4,1257.87451171875
cem,2048,2048,16,128,1223.989501953125,105.29708199056853,4.613934813812375,0.039910879179244046,5,5,1,1049.41552734375
cem,1024,1024,8,128,1324.9294921875,160.6161061590034,2.2997693455778063,0.016112583554109636,5,5,3,1135.7271728515625
cem,512,512,4,128,1252.52509765625,74.91488162709865,1.1615880287252367,0.003968837969603409,5,5,0,1144.32373046875
ps,8192,8192,4,2048,1063.3417114257813,124.73330077724258,1.498810793273151,0.0028251080161001045,5,5,4,876.8213500976562
ps,4096,4096,4,1024,1079.8644653320312,146.30932705982522,1.349164155125618,0.00153480779578504,5,5,3,893.7041015625
ps,2048,2048,8,256,1158.5213256835937,238.2619601843066,2.3362763576209544,0.010706200382482147,5,5,4,898.3516235351562
ps,1024,1024,8,128,1218.3353759765625,162.3732284194226,2.302031687926501,0.006145101211421023,5,5,4,1076.1187744140625
ps,512,512,4,128,1371.083935546875,221.7521363946336,1.1521671469323338,0.008817319416139759,5,5,0,1057.158203125
dial,8192,8192,16,512,1090.3649047851563,117.27710893518406,4.960863886401057,0.010804204214685163,5,5,1,923.4585571289062
dial,4096,4096,16,256,1145.255078125,160.63816112096816,4.629693263582885,0.00810446531052864,5,5,0,946.7442626953125
dial,2048,2048,16,128,1102.5545776367187,229.4572010691029,4.626715489756316,0.04978560011580922,5,5,1,940.583740234375
dial,1024,1024,16,64,1222.0582641601563,198.13893554056315,4.505295552965253,0.03457431792398658,5,5,4,978.8784790039062
dial,512,512,16,32,1229.6330078125,172.49298710999471,4.795355065725744,0.003974493238126103,5,5,0,1068.273681640625
