task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
cart_pole,cbo,0,100,8.544191360473633,0.2689863401465118,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
cart_pole,cbo,0,101,8.548295974731445,0.2686904612928629,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
cart_pole,cbo,1,100,8.617620468139648,0.26844660472124815,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
cart_pole,cbo,1,101,8.41989517211914,0.26786147709935904,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
cart_pole,cbo,2,100,8.459291458129883,0.2681546341627836,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
cart_pole,cbo,2,101,9.592412948608398,0.2687222291715443,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
cart_pole,mppi_cma,0,100,8.395057678222656,0.2705153822898865,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
cart_pole,mppi_cma,0,101,8.578910827636719,0.26976417610421777,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
cart_pole,mppi_cma,1,100,8.582786560058594,0.2701456220820546,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
cart_pole,mppi_cma,1,101,8.517141342163086,0.2701301509514451,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
cart_pole,mppi_cma,2,100,8.428345680236816,0.27296238113194704,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
cart_pole,mppi_cma,2,101,8.523780822753906,0.27084143785759807,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
cart_pole,cmaes,0,100,10.41469955444336,0.2703160080127418,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,0,101,9.684998512268066,0.2713982411660254,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,1,100,9.37862777709961,0.2707642479799688,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,1,101,9.151315689086914,0.27052661404013634,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
cart_pole,cmaes,2,100,9.37862777709961,0.2707267580553889,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
cart_pole,cmaes,2,101,9.151315689086914,0.27082913601770997,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
cart_pole,cem,0,100,8.683609008789062,0.26820025220513344,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
cart_pole,cem,0,101,8.677474975585938,0.2687773210927844,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
cart_pole,cem,1,100,8.525657653808594,0.26773532666265965,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
cart_pole,cem,1,101,8.53049087524414,0.26822894532233477,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
cart_pole,cem,2,100,12.390286445617676,0.2691097571514547,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
cart_pole,cem,2,101,8.576431274414062,0.2674304940737784,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
cart_pole,ps,0,100,8.408382415771484,0.2707059821113944,10,2.0,128,1,4,cubic,100.0,200,0.3,{}
cart_pole,ps,0,101,8.572147369384766,0.2687696651555598,10,2.0,128,1,4,cubic,100.0,200,0.3,{}
cart_pole,dial,0,100,10.982088088989258,0.26901585422456264,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
cart_pole,dial,0,101,14.747455596923828,0.26834894018247724,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
cart_pole,dial,1,100,8.523173332214355,0.2695921380072832,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
cart_pole,dial,1,101,8.374715805053711,0.26846675109118223,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
cart_pole,dial,2,100,8.526308059692383,0.2682684250175953,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
cart_pole,dial,2,101,8.568950653076172,0.26943973591551185,10,2.0,128,1,4,cubic,100.0,200,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
double_cart_pole,cbo,0,100,120.69158172607422,0.16880414402112365,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,0,101,120.69115447998047,0.1681938893161714,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1,100,120.69258880615234,0.17376818601042032,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
double_cart_pole,cbo,1,101,118.27206420898438,0.16893445514142513,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
double_cart_pole,cbo,2,100,121.66706848144531,0.17338637495413423,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
double_cart_pole,cbo,2,101,120.75267028808594,0.16828373400494456,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
double_cart_pole,mppi_cma,0,100,120.84785461425781,0.17121148901060224,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
double_cart_pole,mppi_cma,0,101,121.37003326416016,0.16805795626714826,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
double_cart_pole,mppi_cma,1,100,120.70303344726562,0.16756749665364623,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
double_cart_pole,mppi_cma,1,101,121.20503234863281,0.16808127611875534,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
double_cart_pole,mppi_cma,2,100,120.75389862060547,0.16812631022185087,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
double_cart_pole,mppi_cma,2,101,121.73149108886719,0.1678310907445848,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
double_cart_pole,cmaes,0,100,124.79527282714844,0.17136996565386653,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,0,101,124.38109588623047,0.16994293965399265,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,1,100,122.65420532226562,0.1719005429185927,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,1,101,123.99579620361328,0.16979620093479753,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
double_cart_pole,cmaes,2,100,122.65420532226562,0.17242055479437113,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
double_cart_pole,cmaes,2,101,123.99579620361328,0.1696816124022007,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
double_cart_pole,cem,0,100,135.5158233642578,0.17367842514067888,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
double_cart_pole,cem,0,101,120.69078826904297,0.16828559199348092,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
double_cart_pole,cem,1,100,124.05245208740234,0.17361332522705197,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
double_cart_pole,cem,1,101,121.42029571533203,0.16914777737110853,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
double_cart_pole,cem,2,100,133.86158752441406,0.16834681713953614,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
double_cart_pole,cem,2,101,128.3135223388672,0.16862021712586284,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
double_cart_pole,ps,0,100,120.71086883544922,0.17158190999180079,10,1.0,1024,1,4,cubic,100.0,100,0.3,{}
double_cart_pole,ps,0,101,120.69646453857422,0.1690680356696248,10,1.0,1024,1,4,cubic,100.0,100,0.3,{}
double_cart_pole,dial,0,100,130.768310546875,0.17191729601472616,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
double_cart_pole,dial,0,101,130.71095275878906,0.16922809509560466,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
double_cart_pole,dial,1,100,120.69327545166016,0.16874029021710157,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
double_cart_pole,dial,1,101,120.69627380371094,0.1677615698426962,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
double_cart_pole,dial,2,100,120.72859191894531,0.17264577839523554,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
double_cart_pole,dial,2,101,118.29740142822266,0.1680339747108519,10,1.0,1024,1,4,cubic,100.0,100,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
humanoid_standup,cbo,0,100,22.30634307861328,0.11479836888611317,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
humanoid_standup,cbo,0,101,22.10110092163086,0.11295677023008466,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
humanoid_standup,cbo,1,100,20.88115692138672,0.11698068585246801,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
humanoid_standup,cbo,1,101,22.99154281616211,0.1135063306428492,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
humanoid_standup,cbo,2,100,24.784658432006836,0.1220480790361762,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
humanoid_standup,cbo,2,101,24.127826690673828,0.11516752000898123,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
